RCI 152.54.14.10
timestamp	iget runtime	scp runtime	bbcp runtime
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:26:53	18.943	67.864	122.36
2014-05-21 13:42:12	19.426	272.202	27.634
2014-05-21 14:00:08	24.569	89.826	60.39
2014-05-21 14:21:52	19.07	60.916	23.841
2014-05-21 14:48:19	15.439	47.19	23.898
2014-05-21 15:19:50	15.736	45.843	29.229
2014-05-21 15:56:08	15.275	40.73	21.369
2014-05-21 16:37:40	14.701	42.284	33.77
2014-05-21 17:24:01	15.271	43.725	21.761
2014-05-21 18:16:15	18.325	46.043	69.251
2014-05-21 19:13:41	19.079	101.561	24.323
2014-05-21 20:16:24	19.793	114.166	28.586
2014-05-21 21:24:26	22.475	113.84	45.812
2014-05-21 22:38:22	23.295	118.554	93.356
2014-05-21 23:56:44	17.73	152.424	31.564
2014-05-22 01:19:37	15.065	131.623	25.002
2014-05-22 02:45:57	14.854	42.982	22.556
2014-05-22 04:17:14	14.377	39.667	21.571
2014-05-22 05:53:36	14.624	43.204	23.885
2014-05-22 07:34:51	14.977	40.314	19.669
WVN-RBUDP 129.71.30.14
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:24:17	19.903	102.417	63.521
2014-05-21 13:39:26	15.567	255.839	37.064
2014-05-21 13:56:28	23.077	52.087	46.172
2014-05-21 14:18:04	18.632	51.595	25.611
2014-05-21 14:44:26	15.281	46.285	19.567
2014-05-21 15:15:49	16.184	46.328	19.65
2014-05-21 15:53:11	27.06	88.252	26.613
2014-05-21 16:34:38	16.51	48.369	20.854
2014-05-21 17:22:29	20.639	118.572	31.471
2014-05-21 18:15:37	24.952	105.289	56.965
2014-05-21 19:13:14	18.081	121.629	17.433
2014-05-21 20:16:18	18.76	145.904	18.058
2014-05-21 21:24:15	21.236	137.856	17.813
2014-05-21 22:38:03	26.305	182.747	18.152
2014-05-21 23:55:34	19.077	112.855	18.311
2014-05-22 01:17:09	15.22	60.951	18.756
2014-05-22 02:43:41	15.527	44.694	31.189
2014-05-22 04:14:59	14.244	42.294	20.177
2014-05-22 05:51:16	13.84	44.853	17.832
2014-05-22 07:32:34	14.657	44.075	18.739
SL-RBUDP 165.124.159.24
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:26:40	17.231	101.002	120.843
2014-05-21 13:42:30	18.824	237.398	93.502
2014-05-21 14:02:24	26.928	181.903	84.447
2014-05-21 14:24:51	32.953	88.148	25.498
2014-05-21 14:51:38	14.957	63.757	27.373
2014-05-21 15:23:22	15.774	64.608	22.726
2014-05-21 16:00:14	18.308	64.04	29.762
2014-05-21 16:42:02	15.835	66.241	25.489
2014-05-21 17:29:15	16.843	82.947	32.28
2014-05-21 18:21:05	14.87	66.849	27.43
2014-05-21 19:18:00	14.305	71.03	29.481
2014-05-21 20:20:08	16.82	70.961	39.701
2014-05-21 21:26:53	14.864	65.781	23.768
2014-05-21 22:40:31	19.047	129.711	68.745
